"W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team,ID,Conference,Division,City,Name,Abbreviation"
"53,19,.736,â€?112.8,106.5,5.97,2020,Toronto Raptors,28,East,Atlantic,Toronto,Raptors,TOR"
"27,45,.375,22.0,111.3,111.7,-0.54,2021,Toronto Raptors,28,East,Atlantic,Toronto,Raptors,TOR"
"48,34,.585,3.0,109.4,107.1,2.38,2022,Toronto Raptors,28,East,Atlantic,Toronto,Raptors,TOR"
"48,24,.667,5.0,113.7,107.3,5.83,2020,Boston Celtics,2,East,Atlantic,Boston,Celtics,BOS"
"36,36,.500,13.0,112.6,111.2,1.32,2021,Boston Celtics,2,East,Atlantic,Boston,Celtics,BOS"
"51,31,.622,â€?111.8,104.5,7.02,2022,Boston Celtics,2,East,Atlantic,Boston,Celtics,BOS"
"43,30,.589,10.5,110.7,108.4,2.25,2020,Philadelphia 76ers,23,East,Atlantic,Philadelphia,76ers,PHI"
"49,23,.681,â€?113.6,108.1,5.28,2021,Philadelphia 76ers,23,East,Atlantic,Philadelphia,76ers,PHI"
"51,31,.622,â€?109.9,107.3,2.57,2022,Philadelphia 76ers,23,East,Atlantic,Philadelphia,76ers,PHI"
"35,37,.486,18.0,111.8,112.3,-1.01,2020,Brooklyn Nets,3,East,Atlantic,Brooklyn,Nets,BKN"
"48,24,.667,1.0,118.6,114.1,4.24,2021,Brooklyn Nets,3,East,Atlantic,Brooklyn,Nets,BKN"
"44,38,.537,7.0,112.9,112.1,0.82,2022,Brooklyn Nets,3,East,Atlantic,Brooklyn,Nets,BKN"
"21,45,.318,29.0,105.8,112.3,-6.72,2020,New York Knicks,20,East,Atlantic,New York,Knicks,NYK"
"41,31,.569,8.0,107.0,104.7,2.13,2021,New York Knicks,20,East,Atlantic,New York,Knicks,NYK"
"37,45,.451,14.0,106.5,106.6,-0.01,2022,New York Knicks,20,East,Atlantic,New York,Knicks,NYK"
"56,17,.767,â€?118.7,108.6,9.41,2020,Milwaukee Bucks,17,East,Central,Milwaukee,Bucks,MIL"
"46,26,.639,â€?120.1,114.2,5.57,2021,Milwaukee Bucks,17,East,Central,Milwaukee,Bucks,MIL"
"51,31,.622,â€?115.5,112.1,3.22,2022,Milwaukee Bucks,17,East,Central,Milwaukee,Bucks,MIL"
"45,28,.616,11.0,109.4,107.5,1.63,2020,Indiana Pacers,12,East,Central,Indiana,Pacers,IND"
"34,38,.472,12.0,115.3,115.3,-0.13,2021,Indiana Pacers,12,East,Central,Indiana,Pacers,IND"
"25,57,.305,26.0,111.5,114.9,-3.26,2022,Indiana Pacers,12,East,Central,Indiana,Pacers,IND"
"22,43,.338,30.0,106.8,109.9,-4.00,2020,Chicago Bulls,5,East,Central,Chicago,Bulls,CHI"
"31,41,.431,15.0,110.7,111.6,-0.94,2021,Chicago Bulls,5,East,Central,Chicago,Bulls,CHI"
"46,36,.561,5.0,111.6,112.0,-0.38,2022,Chicago Bulls,5,East,Central,Chicago,Bulls,CHI"
"20,46,.303,32.5,107.2,110.8,-4.38,2020,Detroit Pistons,9,East,Central,Detroit,Pistons,DET"
"20,52,.278,26.0,106.6,111.1,-4.38,2021,Detroit Pistons,9,East,Central,Detroit,Pistons,DET"
"23,59,.280,28.0,104.8,112.5,-7.36,2022,Detroit Pistons,9,East,Central,Detroit,Pistons,DET"
"19,46,.292,33.0,106.9,114.8,-7.77,2020,Cleveland Cavaliers,6,East,Central,Cleveland,Cavaliers,CLE"
"22,50,.306,24.0,103.8,112.3,-8.19,2021,Cleveland Cavaliers,6,East,Central,Cleveland,Cavaliers,CLE"
"44,38,.537,7.0,107.8,105.7,2.04,2022,Cleveland Cavaliers,6,East,Central,Cleveland,Cavaliers,CLE"
"44,29,.603,â€?112.0,109.1,2.59,2020,Miami Heat,16,East,Southeast,Miami,Heat,MIA"
"40,32,.556,1.0,108.1,108.0,-0.06,2021,Miami Heat,16,East,Southeast,Miami,Heat,MIA"
"53,29,.646,â€?110.0,105.6,4.23,2022,Miami Heat,16,East,Southeast,Miami,Heat,MIA"
"33,40,.452,11.0,107.3,108.3,-0.93,2020,Orlando Magic,22,East,Southeast,Orlando,Magic,ORL"
"21,51,.292,20.0,104.0,113.3,-9.02,2021,Orlando Magic,22,East,Southeast,Orlando,Magic,ORL"
"22,60,.268,31.0,104.2,112.2,-7.67,2022,Orlando Magic,22,East,Southeast,Orlando,Magic,ORL"
"23,42,.354,17.0,102.9,109.6,-7.03,2020,Charlotte Hornets,4,East,Southeast,Charlotte,Hornets,CHA"
"33,39,.458,8.0,109.5,111.4,-1.94,2021,Charlotte Hornets,4,East,Southeast,Charlotte,Hornets,CHA"
"43,39,.524,10.0,115.3,114.9,0.53,2022,Charlotte Hornets,4,East,Southeast,Charlotte,Hornets,CHA"
"25,47,.347,18.5,114.4,119.1,-5.24,2020,Washington Wizards,30,East,Southeast,Washington,Wizards,WAS"
"34,38,.472,7.0,116.6,118.5,-1.85,2021,Washington Wizards,30,East,Southeast,Washington,Wizards,WAS"
"35,47,.427,18.0,108.6,112.0,-3.23,2022,Washington Wizards,30,East,Southeast,Washington,Wizards,WAS"
"20,47,.299,21.0,111.8,119.7,-7.71,2020,Atlanta Hawks,1,East,Southeast,Atlanta,Hawks,ATL"
"41,31,.569,â€?113.7,111.4,2.14,2021,Atlanta Hawks,1,East,Southeast,Atlanta,Hawks,ATL"
"43,39,.524,10.0,113.9,112.4,1.55,2022,Atlanta Hawks,1,East,Southeast,Atlanta,Hawks,ATL"
"46,27,.630,â€?111.3,109.2,2.35,2020,Denver Nuggets,8,West,Northwest,Denver,Nuggets,DEN"
"46,27,.630,â€?111.3,109.2,2.35,2020,Denver Nuggets,50,    ,,,Denver Nuggets,DN"
"47,25,.653,5.0,115.1,110.1,4.82,2021,Denver Nuggets,8,West,Northwest,Denver,Nuggets,DEN"
"47,25,.653,5.0,115.1,110.1,4.82,2021,Denver Nuggets,50,    ,,,Denver Nuggets,DN"
"48,34,.585,1.0,112.7,110.4,2.16,2022,Denver Nuggets,8,West,Northwest,Denver,Nuggets,DEN"
"48,34,.585,1.0,112.7,110.4,2.16,2022,Denver Nuggets,50,    ,,,Denver Nuggets,DN"
"44,28,.611,1.5,110.4,108.4,2.33,2020,Oklahoma City Thunder,21,West,Northwest,Oklahoma City,Thunder,OKC"
"22,50,.306,30.0,105.0,115.6,-10.13,2021,Oklahoma City Thunder,21,West,Northwest,Oklahoma City,Thunder,OKC"
"24,58,.293,25.0,103.7,111.8,-7.90,2022,Oklahoma City Thunder,21,West,Northwest,Oklahoma City,Thunder,OKC"
"44,28,.611,1.5,111.3,108.8,2.52,2020,Utah Jazz,29,West,Northwest,Utah,Jazz,UTA"
"52,20,.722,â€?116.4,107.2,8.97,2021,Utah Jazz,29,West,Northwest,Utah,Jazz,UTA"
"49,33,.598,â€?113.6,107.6,5.67,2022,Utah Jazz,29,West,Northwest,Utah,Jazz,UTA"
"35,39,.473,11.5,115.0,116.1,-0.61,2020,Portland Trail Blazers,25,West,Northwest,Portland,Trail Blazers,POR"
"42,30,.583,10.0,116.1,114.3,1.81,2021,Portland Trail Blazers,25,West,Northwest,Portland,Trail Blazers,POR"
"27,55,.329,22.0,106.2,115.1,-8.55,2022,Portland Trail Blazers,25,West,Northwest,Portland,Trail Blazers,POR"
"19,45,.297,22.5,113.3,117.5,-4.02,2020,Minnesota Timberwolves,18,West,Northwest,Minnesota,Timberwolves,MIN"
"23,49,.319,29.0,112.1,117.7,-5.25,2021,Minnesota Timberwolves,18,West,Northwest,Minnesota,Timberwolves,MIN"
"46,36,.561,3.0,115.9,113.3,2.53,2022,Minnesota Timberwolves,18,West,Northwest,Minnesota,Timberwolves,MIN"
"52,19,.732,â€?113.4,107.6,6.28,2020,Los Angeles Lakers,14,West,Pacific,Los Angeles,Lakers,LAL"
"42,30,.583,9.0,109.5,106.8,2.77,2021,Los Angeles Lakers,14,West,Pacific,Los Angeles,Lakers,LAL"
"33,49,.402,31.0,112.1,115.1,-3.08,2022,Los Angeles Lakers,14,West,Pacific,Los Angeles,Lakers,LAL"
"34,39,.466,19.0,113.6,113.4,0.56,2020,Phoenix Suns,24,West,Pacific,Phoenix,Suns,PHX"
"51,21,.708,â€?115.3,109.5,5.67,2021,Phoenix Suns,24,West,Pacific,Phoenix,Suns,PHX"
"64,18,.780,â€?114.8,107.3,6.94,2022,Phoenix Suns,24,West,Pacific,Phoenix,Suns,PHX"
"31,41,.431,21.5,110.1,112.1,-1.59,2020,Sacramento Kings,26,West,Pacific,Sacramento,Kings,SAC"
"31,41,.431,20.0,113.7,117.4,-3.45,2021,Sacramento Kings,26,West,Pacific,Sacramento,Kings,SAC"
"30,52,.366,34.0,110.3,115.8,-5.26,2022,Sacramento Kings,26,West,Pacific,Sacramento,Kings,SAC"
"15,50,.231,34.0,106.3,115.0,-8.12,2020,Golden State Warriors,10,West,Pacific,Golden State,Warriors,GSW"
"39,33,.542,12.0,113.7,112.7,1.10,2021,Golden State Warriors,10,West,Pacific,Golden State,Warriors,GSW"
"53,29,.646,11.0,111.0,105.5,5.52,2022,Golden State Warriors,10,West,Pacific,Golden State,Warriors,GSW"
"44,28,.611,â€?117.8,114.8,3.13,2020,Houston Rockets,11,West,Southwest,Houston,Rockets,HOU"
"17,55,.236,25.0,108.8,116.7,-7.50,2021,Houston Rockets,11,West,Southwest,Houston,Rockets,HOU"
"20,62,.244,36.0,109.7,118.2,-8.26,2022,Houston Rockets,11,West,Southwest,Houston,Rockets,HOU"
"43,32,.573,2.5,117.0,112.1,4.87,2020,Dallas Mavericks,7,West,Southwest,Dallas,Mavericks,DAL"
"42,30,.583,â€?112.4,110.2,2.26,2021,Dallas Mavericks,7,West,Southwest,Dallas,Mavericks,DAL"
"52,30,.634,4.0,108.0,104.7,3.12,2022,Dallas Mavericks,7,West,Southwest,Dallas,Mavericks,DAL"
"34,39,.466,10.5,112.6,113.7,-0.91,2020,Memphis Grizzlies,15,West,Southwest,Memphis,Grizzlies,MEM"
"38,34,.528,4.0,113.3,112.3,1.07,2021,Memphis Grizzlies,15,West,Southwest,Memphis,Grizzlies,MEM"
"56,26,.683,â€?115.6,109.9,5.37,2022,Memphis Grizzlies,15,West,Southwest,Memphis,Grizzlies,MEM"
"32,39,.451,11.5,114.1,115.2,-0.65,2020,San Antonio Spurs,27,West,Southwest,San Antonio,Spurs,SAS"
"33,39,.458,9.0,111.1,112.8,-1.58,2021,San Antonio Spurs,27,West,Southwest,San Antonio,Spurs,SAS"
"34,48,.415,22.0,113.2,113.0,0.02,2022,San Antonio Spurs,27,West,Southwest,San Antonio,Spurs,SAS"
"30,42,.417,14.0,115.8,117.1,-0.55,2020,New Orleans Pelicans,19,West,Southwest,New Orleans,Pelicans,NOP"
"31,41,.431,11.0,114.6,114.9,-0.20,2021,New Orleans Pelicans,19,West,Southwest,New Orleans,Pelicans,NOP"
"36,46,.439,20.0,109.3,110.3,-0.84,2022,New Orleans Pelicans,19,West,Southwest,New Orleans,Pelicans,NOP"
